     0/199     7.46G    0.1092    0.4124   0.03755    0.5592      1223       416         0         0  0.004508 0.0006954   0.09299    0.7074   0.03612
     1/199     20.4G   0.09421     0.376   0.03478    0.5049      1143       416         0         0  0.008973  0.001386   0.09593    0.7741   0.03586
     2/199     20.4G   0.07925    0.3832   0.02813    0.4906      1184       416    0.1837    0.7056     0.344   0.07794   0.07001    0.5043   0.02371
     3/199     20.4G   0.07313     0.374   0.02283      0.47      1016       416    0.2124    0.7959     0.435     0.113   0.06478    0.4802   0.02116
     4/199     20.4G   0.06932    0.3721   0.02099    0.4624      1049       416    0.2042    0.8212    0.4724    0.1128   0.06425    0.5097   0.01949
     5/199     20.4G   0.06753    0.3655   0.01651    0.4495      1241       416    0.2377    0.8972    0.5952    0.1374    0.0616    0.4661   0.01124
     6/199     20.4G   0.06551      0.37  0.009839    0.4453      1047       416    0.2843    0.9252    0.8228    0.2619   0.05582    0.4398  0.007156
     7/199     20.4G   0.06337    0.3577  0.007494    0.4286      1103       416    0.3309    0.9161    0.7837    0.2298    0.0558    0.4552   0.00589
     8/199     20.4G   0.06204    0.3598  0.006476    0.4283      1038       416    0.3692    0.9222    0.8256    0.2717   0.05398    0.4581  0.005412
     9/199     20.4G   0.06075    0.3617  0.006045    0.4285      1224       416    0.3527     0.877    0.8074     0.222    0.0567    0.4723  0.005256
    10/199     20.4G   0.05955    0.3618  0.006374    0.4278      1161       416    0.2338    0.6837     0.463    0.0964   0.06997    0.4933    0.0114
    11/199     20.4G    0.0583    0.3594  0.005721    0.4234      1344       416     0.413    0.9101    0.7611    0.2283   0.05462    0.4746  0.005041
    12/199     20.4G   0.05653    0.3552  0.005094    0.4169      1132       416    0.4783    0.9357     0.901    0.3259   0.05101    0.4367  0.005021
    13/199     20.4G   0.05631    0.3533  0.004988    0.4146      1387       416    0.4377    0.9251    0.8749     0.299   0.05017    0.4288  0.004877
    14/199     20.4G   0.05517    0.3538  0.004768    0.4137      1296       416    0.4517     0.937    0.8654    0.2739   0.05211    0.4436  0.004203
    15/199     20.4G    0.0545    0.3521  0.004639    0.4113      1014       416    0.5157    0.9276     0.901    0.3786   0.04709      0.42  0.003995
    16/199     20.4G    0.0536    0.3517  0.004489    0.4098      1023       416    0.5211    0.9337    0.9145    0.3823   0.04653    0.4165  0.003959
    17/199     20.4G   0.05308      0.35  0.004374    0.4074      1174       416    0.5208    0.9244    0.9056    0.3573   0.04762    0.4347  0.003993
    18/199     20.4G   0.05255    0.3492  0.004349    0.4061      1045       416    0.4887    0.9047    0.7865     0.257   0.05188     0.463  0.004422
